"variable","row","col","stdres"
"serotype_final_decision","VT","3",3.72988001568715
"serotype_final_decision","NVT","3",-2.8854557029506
"serotype_final_decision","untypeable","3",-0.798366870713065
"serotype_final_decision","VT","6A",7.23068589642909
"serotype_final_decision","NVT","6A",-5.59369839467934
"serotype_final_decision","untypeable","6A",-1.54770127938758
"serotype_final_decision","VT","6B",6.33421046557677
"serotype_final_decision","NVT","6B",-4.90018006872016
"serotype_final_decision","untypeable","6B",-1.35581406548511
"serotype_final_decision","VT","14",2.8798477732443
"serotype_final_decision","NVT","14",-2.22786608308806
"serotype_final_decision","untypeable","14",-0.616420647630797
"serotype_final_decision","VT","18C",2.8798477732443
"serotype_final_decision","NVT","18C",-2.22786608308806
"serotype_final_decision","untypeable","18C",-0.616420647630797
"serotype_final_decision","VT","19A",2.8798477732443
"serotype_final_decision","NVT","19A",-2.22786608308806
"serotype_final_decision","untypeable","19A",-0.616420647630797
"serotype_final_decision","VT","19F",8.0483900169924
"serotype_final_decision","NVT","19F",-6.22627880157774
"serotype_final_decision","untypeable","19F",-1.72272778886179
"serotype_final_decision","VT","23F",6.79424116493892
"serotype_final_decision","NVT","23F",-5.25606234896084
"serotype_final_decision","untypeable","23F",-1.45428191655191
"serotype_final_decision","VT","6C",-1.4946545068549
"serotype_final_decision","NVT","6C",1.93206292156004
"serotype_final_decision","untypeable","6C",-0.875985689746842
"serotype_final_decision","VT","7C",-1.05177049109792
"serotype_final_decision","NVT","7C",1.35956955839733
"serotype_final_decision","untypeable","7C",-0.616420647630797
"serotype_final_decision","VT","10A",-1.61703857893235
"serotype_final_decision","NVT","10A",2.09026251000402
"serotype_final_decision","untypeable","10A",-0.947712430141439
"serotype_final_decision","VT","10B",-1.21643721378917
"serotype_final_decision","NVT","10B",1.57242575216483
"serotype_final_decision","untypeable","10B",-0.712928363623689
"serotype_final_decision","VT","11A",-2.31336382221064
"serotype_final_decision","NVT","11A",2.99036629834718
"serotype_final_decision","untypeable","11A",-1.35581406548511
"serotype_final_decision","VT","13",-3.01063407370826
"serotype_final_decision","NVT","13",3.89169165015718
"serotype_final_decision","untypeable","13",-1.76446955034586
"serotype_final_decision","VT","15A",-0.857389676201077
"serotype_final_decision","NVT","15A",1.10830348760812
"serotype_final_decision","untypeable","15A",-0.502498124780174
"serotype_final_decision","VT","15B",-2.79307039582336
"serotype_final_decision","NVT","15B",3.61045828606412
"serotype_final_decision","untypeable","15B",-1.63696003723644
"serotype_final_decision","VT","15C",-3.28459239325365
"serotype_final_decision","NVT","15C",4.24582346377631
"serotype_final_decision","untypeable","15C",-1.92503078132481
"serotype_final_decision","VT","16F",-2.04040123340596
"serotype_final_decision","NVT","16F",2.63752161458657
"serotype_final_decision","untypeable","16F",-1.19583641143026
"serotype_final_decision","VT","17F",-0.605296803254866
"serotype_final_decision","NVT","17F",0.782436010960414
"serotype_final_decision","untypeable","17F",-0.354751773917641
"serotype_final_decision","VT","18B",-0.605296803254866
"serotype_final_decision","NVT","18B",0.782436010960414
"serotype_final_decision","untypeable","18B",-0.354751773917641
"serotype_final_decision","VT","19B",-1.36221704920748
"serotype_final_decision","NVT","19B",1.76086783923652
"serotype_final_decision","untypeable","19B",-0.798366870713065
"serotype_final_decision","VT","20",-0.605296803254866
"serotype_final_decision","NVT","20",0.782436010960414
"serotype_final_decision","untypeable","20",-0.354751773917641
"serotype_final_decision","VT","23A",-2.31336382221064
"serotype_final_decision","NVT","23A",2.99036629834718
"serotype_final_decision","untypeable","23A",-1.35581406548511
"serotype_final_decision","VT","23B",-0.605296803254866
"serotype_final_decision","NVT","23B",0.782436010960414
"serotype_final_decision","untypeable","23B",-0.354751773917641
"serotype_final_decision","VT","23B1",-1.21643721378917
"serotype_final_decision","NVT","23B1",1.57242575216483
"serotype_final_decision","untypeable","23B1",-0.712928363623689
"serotype_final_decision","VT","24F",-0.857389676201077
"serotype_final_decision","NVT","24F",1.10830348760812
"serotype_final_decision","untypeable","24F",-0.502498124780174
"serotype_final_decision","VT","25B",-0.605296803254866
"serotype_final_decision","NVT","25B",0.782436010960414
"serotype_final_decision","untypeable","25B",-0.354751773917641
"serotype_final_decision","VT","28A",-0.857389676201077
"serotype_final_decision","NVT","28A",1.10830348760812
"serotype_final_decision","untypeable","28A",-0.502498124780174
"serotype_final_decision","VT","31",-0.605296803254866
"serotype_final_decision","NVT","31",0.782436010960414
"serotype_final_decision","untypeable","31",-0.354751773917641
"serotype_final_decision","VT","33B",-1.05177049109792
"serotype_final_decision","NVT","33B",1.35956955839733
"serotype_final_decision","untypeable","33B",-0.616420647630797
"serotype_final_decision","VT","34",-2.22550706552137
"serotype_final_decision","NVT","34",2.87679839270117
"serotype_final_decision","untypeable","34",-1.30432306120659
"serotype_final_decision","VT","35A",-0.605296803254866
"serotype_final_decision","NVT","35A",0.782436010960414
"serotype_final_decision","untypeable","35A",-0.354751773917641
"serotype_final_decision","VT","35B",-1.36221704920748
"serotype_final_decision","NVT","35B",1.76086783923652
"serotype_final_decision","untypeable","35B",-0.798366870713065
"serotype_final_decision","VT","35C",-1.83955121738891
"serotype_final_decision","NVT","35C",2.3778931406071
"serotype_final_decision","untypeable","35C",-1.0781224253489
"serotype_final_decision","VT","35F",-0.857389676201077
"serotype_final_decision","NVT","35F",1.10830348760812
"serotype_final_decision","untypeable","35F",-0.502498124780174
"serotype_final_decision","VT","37",-0.605296803254866
"serotype_final_decision","NVT","37",0.782436010960414
"serotype_final_decision","untypeable","37",-0.354751773917641
"serotype_final_decision","VT","37F",-0.605296803254866
