"variable","row","col","stdres"
"breastMilk_still_being_given","non-MDR","yes",-0.0227083126191129
"nTotal_people","MDR","1",-0.466563499246394
"nTotal_people","non-MDR","1",0.466563499246394
"nTotal_people","MDR","2",-0.542792675167547
"nTotal_people","non-MDR","2",0.542792675167545
"nTotal_people","MDR","3",0.12327439228283
"nTotal_people","non-MDR","3",-0.12327439228283
"nTotal_people","MDR","4",0.622118267339884
"nTotal_people","non-MDR","4",-0.622118267339884
"nTotal_people","MDR","5",-1.37178013009921
"nTotal_people","non-MDR","5",1.37178013009921
"nTotal_people","MDR","6",3.270133137065
"nTotal_people","non-MDR","6",-3.270133137065
"nTotal_people","MDR","7",-0.572273484902017
"nTotal_people","non-MDR","7",0.572273484902017
"nTotal_people","MDR","8",-0.812965252928372
"nTotal_people","non-MDR","8",0.812965252928372
"nTotal_people","MDR","9",-0.329420369485081
"nTotal_people","non-MDR","9",0.329420369485082
"nTotal_people","MDR","10",-0.329420369485081
"nTotal_people","non-MDR","10",0.329420369485082
"nTotal_child_5yo_andBelow","MDR","0",0.790691674145075
"nTotal_child_5yo_andBelow","non-MDR","0",-0.790691674145073
"nTotal_child_5yo_andBelow","MDR","1",-0.556956636115538
"nTotal_child_5yo_andBelow","non-MDR","1",0.556956636115537
"nTotal_child_5yo_andBelow","MDR","2",-0.571330086050867
"nTotal_child_5yo_andBelow","non-MDR","2",0.571330086050866
"nTotal_child_5yo_andBelow","MDR","3",-0.465796427366345
"nTotal_child_5yo_andBelow","non-MDR","3",0.465796427366345
"n_child_1yo_andBelow","MDR","0",0.998528328856729
"n_child_1yo_andBelow","non-MDR","0",-0.998528328856697
"n_child_1yo_andBelow","MDR","1",-0.998528328856729
"n_child_1yo_andBelow","non-MDR","1",0.998528328856729
"n_child_1to2yo","MDR","0",1.1072750815264
"n_child_1to2yo","non-MDR","0",-1.10727508152642
"n_child_1to2yo","MDR","1",-1.05413966893551
"n_child_1to2yo","non-MDR","1",1.05413966893551
"n_child_1to2yo","MDR","2",-0.328880221039756
"n_child_1to2yo","non-MDR","2",0.328880221039757
"n_child_2to4yo","MDR","0",0.0720945766695335
"n_child_2to4yo","non-MDR","0",-0.072094576669549
"n_child_2to4yo","MDR","1",0.115945412616038
"n_child_2to4yo","non-MDR","1",-0.115945412616038
"n_child_2to4yo","MDR","2",-0.465796427366345
"n_child_2to4yo","non-MDR","2",0.465796427366345
"n_child_2to4yo","MDR","3",-0.328880221039756
"n_child_2to4yo","non-MDR","3",0.328880221039757
"nTotal_child_5yo_andBelow_sleep","MDR","0",0.365591279809993
"nTotal_child_5yo_andBelow_sleep","non-MDR","0",-0.365591279809998
"nTotal_child_5yo_andBelow_sleep","MDR","1",-0.105313108466457
"nTotal_child_5yo_andBelow_sleep","non-MDR","1",0.105313108466457
"nTotal_child_5yo_andBelow_sleep","MDR","2",-0.465796427366345
"nTotal_child_5yo_andBelow_sleep","non-MDR","2",0.465796427366345
"nTotal_child_5yo_andBelow_sleep","MDR","3",-0.465796427366345
"nTotal_child_5yo_andBelow_sleep","non-MDR","3",0.465796427366345
"contact_kindergarten","MDR","no",0.549772160099484
"contact_kindergarten","non-MDR","no",-0.549772160099466
"contact_kindergarten","MDR","yes",-0.549772160099484
"contact_kindergarten","non-MDR","yes",0.549772160099484
"contact_otherChildren","MDR","no",-1.24863046340603
"contact_otherChildren","non-MDR","no",1.24863046340603
"contact_otherChildren","MDR","yes",1.24863046340603
"contact_otherChildren","non-MDR","yes",-1.24863046340603
"contact_cigarettes","MDR","no",-0.388846478749455
"contact_cigarettes","non-MDR","no",0.38884647874945
"contact_cigarettes","MDR","yes",0.388846478749456
"contact_cigarettes","non-MDR","yes",-0.388846478749456
"contact_cooking_fuel","MDR","kayu",2.19452712896573
"contact_cooking_fuel","non-MDR","kayu",-2.19452712896574
"contact_cooking_fuel","MDR","lpg/gas alam",-1.65492766423888
"contact_cooking_fuel","non-MDR","lpg/gas alam",1.65492766423888
"contact_cooking_fuel","MDR","minyak tanah",-0.571330086050867
"contact_cooking_fuel","non-MDR","minyak tanah",0.571330086050866
"contact_cooking_place","MDR","di dalam rumah",-1.76418833959379
"contact_cooking_place","non-MDR","di dalam rumah",1.76418833959381
"contact_cooking_place","MDR","di luar rumah",1.76418833959379
"contact_cooking_place","non-MDR","di luar rumah",-1.7641883395938
"hospitalised_last_3mo","MDR","no",0.939998374099149
"hospitalised_last_3mo","non-MDR","no",-0.939998374099158
"hospitalised_last_3mo","MDR","unknown",-0.571330086050867
"hospitalised_last_3mo","non-MDR","unknown",0.571330086050866
"hospitalised_last_3mo","MDR","yes",-0.739789008695319
"hospitalised_last_3mo","non-MDR","yes",0.739789008695319
"hospitalised_last_3mo_n","MDR","0",0.739789008695315
"hospitalised_last_3mo_n","non-MDR","0",-0.739789008695315
"hospitalised_last_3mo_n","MDR","1",-0.739789008695319
"hospitalised_last_3mo_n","non-MDR","1",0.739789008695319
"hospitalised_last_3mo_illness","MDR","demam dan kejang",NA
"hospitalised_last_3mo_illness","non-MDR","demam dan kejang",NA
"hospitalised_last_3mo_illness","MDR","diare",NA
"hospitalised_last_3mo_illness","non-MDR","diare",NA
"hospitalised_last_3mo_illness","MDR","fharotitis",NA
"hospitalised_last_3mo_illness","non-MDR","fharotitis",NA
"hospitalised_last_3mo_illness","MDR","kejang-kejang",NA
"hospitalised_last_3mo_illness","non-MDR","kejang-kejang",NA
"hospitalised_last_3mo_illness","MDR","penyakit jantung bawaan",NA
"hospitalised_last_3mo_illness","non-MDR","penyakit jantung bawaan",NA
"healthcareVisit_last_3mo","MDR","no",-0.640945616851502
"healthcareVisit_last_3mo","non-MDR","no",0.6409456168515
"healthcareVisit_last_3mo","MDR","yes",0.640945616851503
"healthcareVisit_last_3mo","non-MDR","yes",-0.640945616851504
"healthcareVisit_last_3mo_n","MDR","0",-0.747436696060574
"healthcareVisit_last_3mo_n","non-MDR","0",0.747436696060579
"healthcareVisit_last_3mo_n","MDR","1",0.99088560065801
"healthcareVisit_last_3mo_n","non-MDR","1",-0.990885600658009
"healthcareVisit_last_3mo_n","MDR","2",-0.661792990077647
"healthcareVisit_last_3mo_n","non-MDR","2",0.661792990077647
"healthcareVisit_last_3mo_reason","MDR","batuk",-1.47260701769733
"healthcareVisit_last_3mo_reason","non-MDR","batuk",1.47260701769733
"healthcareVisit_last_3mo_reason","MDR","batuk dan demam",-0.391578004149024
"healthcareVisit_last_3mo_reason","non-MDR","batuk dan demam",0.391578004149024
"healthcareVisit_last_3mo_reason","MDR","batuk dan pilek",0.282597082630219
"healthcareVisit_last_3mo_reason","non-MDR","batuk dan pilek",-0.28259708263022
"healthcareVisit_last_3mo_reason","MDR","batuk, pilek",-0.391578004149024
"healthcareVisit_last_3mo_reason","non-MDR","batuk, pilek",0.391578004149024
"healthcareVisit_last_3mo_reason","MDR","batuk, pilek dan demam",2.61052002766016
"healthcareVisit_last_3mo_reason","non-MDR","batuk, pilek dan demam",-2.61052002766016
"healthcareVisit_last_3mo_reason","MDR","batuk, pilek dan diare",-0.391578004149024
"healthcareVisit_last_3mo_reason","non-MDR","batuk, pilek dan diare",0.391578004149024
"healthcareVisit_last_3mo_reason","MDR","cacingan",-0.391578004149024
"healthcareVisit_last_3mo_reason","non-MDR","cacingan",0.391578004149024
"healthcareVisit_last_3mo_reason","MDR","demam",-1.11286186854503
"healthcareVisit_last_3mo_reason","non-MDR","demam",1.11286186854503
"healthcareVisit_last_3mo_reason","MDR","diare",0.743089859762963
"healthcareVisit_last_3mo_reason","non-MDR","diare",-0.743089859762963
"healthcareVisit_last_3mo_reason","MDR","gatal-gatal",2.61052002766016
"healthcareVisit_last_3mo_reason","non-MDR","gatal-gatal",-2.61052002766016
"healthcareVisit_last_3mo_reason","MDR","mual muntah",-0.391578004149024
"healthcareVisit_last_3mo_reason","non-MDR","mual muntah",0.391578004149024
"healthcareVisit_last_3mo_reason","MDR","pilek",0.743089859762963
"healthcareVisit_last_3mo_reason","non-MDR","pilek",-0.743089859762963
"healthcareVisit_last_3mo_reason","MDR","ruam",-1.01734949746879
"healthcareVisit_last_3mo_reason","non-MDR","ruam",1.01734949746879
"healthcareVisit_last_3mo_reason","MDR","sariawan",2.61052002766016
"healthcareVisit_last_3mo_reason","non-MDR","sariawan",-2.61052002766016
"illness_past3days_fever","MDR","no",0.614658055345236
"illness_past3days_fever","non-MDR","no",-0.614658055345236
"illness_past3days_fever","MDR","unknown",-0.465796427366345
"illness_past3days_fever","non-MDR","unknown",0.465796427366345
"illness_past3days_fever","MDR","yes",-0.48170673404697
"illness_past3days_fever","non-MDR","yes",0.481706734046971
"illness_past3days_fever_nDays","MDR","0",-0.847285415719263
"illness_past3days_fever_nDays","non-MDR","0",0.847285415719263
"illness_past3days_fever_nDays","MDR","1",-0.660699073726327
"illness_past3days_fever_nDays","non-MDR","1",0.660699073726328
"illness_past3days_fever_nDays","MDR","2",-0.660699073726327
"illness_past3days_fever_nDays","non-MDR","2",0.660699073726328
"illness_past3days_fever_nDays","MDR","3",-0.739789008695319
"illness_past3days_fever_nDays","non-MDR","3",0.739789008695319
"illness_past3days_fever_nDays","MDR","7",1.92670340410625
"illness_past3days_fever_nDays","non-MDR","7",-1.92670340410625
"illness_past3days_fever_nDays","MDR","no",1.04837515801281
"illness_past3days_fever_nDays","non-MDR","no",-1.04837515801282
"illness_past3days_fever_nDays","MDR","yes",-0.465796427366345
"illness_past3days_fever_nDays","non-MDR","yes",0.465796427366345
"illness_past24h_cough","MDR","no",1.86072950861685
"illness_past24h_cough","non-MDR","no",-1.86072950861685
"illness_past24h_cough","MDR","yes",-1.86072950861686
"illness_past24h_cough","non-MDR","yes",1.86072950861686
"illness_past24h_runny_nose","MDR","no",0.659708273839246
"illness_past24h_runny_nose","non-MDR","no",-0.659708273839248
"illness_past24h_runny_nose","MDR","yes",-0.659708273839246
"illness_past24h_runny_nose","non-MDR","yes",0.659708273839248
"illness_past24h_difficulty_breathing","MDR","no",0.328880221039759
"illness_past24h_difficulty_breathing","non-MDR","no",-0.328880221039831
"illness_past24h_difficulty_breathing","MDR","yes",-0.328880221039756
"illness_past24h_difficulty_breathing","non-MDR","yes",0.328880221039757
"antibiotic_past3days","MDR","no",1.05413966893551
"antibiotic_past3days","non-MDR","no",-1.0541396689355
"antibiotic_past3days","MDR","unknown",-0.328880221039756
"antibiotic_past3days","non-MDR","unknown",0.328880221039757
"antibiotic_past3days","MDR","yes",-0.998528328856729
"antibiotic_past3days","non-MDR","yes",0.998528328856729
"antibiotic_past1mo","MDR","no",0.811614157756306
"antibiotic_past1mo","non-MDR","no",-0.811614157756335
"antibiotic_past1mo","MDR","yes",-0.811614157756309
"antibiotic_past1mo","non-MDR","yes",0.811614157756308
"vaccination_hibpentavalent_dc_n","MDR","2",2.68113172612371
"vaccination_hibpentavalent_dc_n","non-MDR","2",-2.68113172612371
"vaccination_hibpentavalent_dc_n","MDR","3",0.451205183719837
"vaccination_hibpentavalent_dc_n","non-MDR","3",-0.451205183719835
"vaccination_hibpentavalent_dc_n","MDR","4",-1.26473697263116
"vaccination_hibpentavalent_dc_n","non-MDR","4",1.26473697263116
"vaccination_pcv13_dc_n","MDR","0",-0.328880221039756
"vaccination_pcv13_dc_n","non-MDR","0",0.328880221039757
"vaccination_pcv13_dc_n","MDR","1",-0.328880221039756
"vaccination_pcv13_dc_n","non-MDR","1",0.328880221039757
"vaccination_pcv13_dc_n","MDR","2",2.20435587526329
"vaccination_pcv13_dc_n","non-MDR","2",-2.2043558752633
"vaccination_pcv13_dc_n","MDR","3",-2.07907435583618
"vaccination_pcv13_dc_n","non-MDR","3",2.07907435583618
"vaccination_pcv13_dc_n","MDR","4",-0.328880221039756
"vaccination_pcv13_dc_n","non-MDR","4",0.328880221039757
"age_year","MDR","1",2.87560220216107
"age_year","non-MDR","1",-2.87560220216107
"age_year","MDR","2",-2.17007859032562
"age_year","non-MDR","2",2.17007859032562
"age_year","MDR","3",-0.490742366765053
"age_year","non-MDR","3",0.490742366765054
"age_year","MDR","4",0.848216473043113
"age_year","non-MDR","4",-0.848216473043112
"age_year","MDR","5",-0.0492153469178008
"age_year","non-MDR","5",0.0492153469178003
"age_year_2groups","MDR","1 and below",2.87560220216107
"age_year_2groups","non-MDR","1 and below",-2.87560220216107
"age_year_2groups","MDR","more than 1",-2.87560220216107
"age_year_2groups","non-MDR","more than 1",2.87560220216107
"age_year_3groups","MDR","1 and below",2.87560220216107
"age_year_3groups","non-MDR","1 and below",-2.87560220216107
"age_year_3groups","MDR","1-2",-2.17007859032562
"age_year_3groups","non-MDR","1-2",2.17007859032562
"age_year_3groups","MDR","3-5",0.0565301585710664
"age_year_3groups","non-MDR","3-5",-0.0565301585710684
"breastFeed_compiled","MDR","currently breastfeed",0.0227083126191077
"breastFeed_compiled","non-MDR","currently breastfeed",-0.0227083126191129
"breastFeed_compiled","MDR","ever breastfeed",0.371246225952067
"breastFeed_compiled","non-MDR","ever breastfeed",-0.371246225952068
"breastFeed_compiled","MDR","never breastfeed",-1.1072750815264
"breastFeed_compiled","non-MDR","never breastfeed",1.1072750815264
"house_roof_regroup","MDR","asbes",-0.105313108466457
"house_roof_regroup","non-MDR","asbes",0.105313108466457
"house_roof_regroup","MDR","genteng",-0.96483256290059
"house_roof_regroup","non-MDR","genteng",0.964832562900589
"house_roof_regroup","MDR","others",-0.571330086050867
"house_roof_regroup","non-MDR","others",0.571330086050866
"house_roof_regroup","MDR","seng",1.9963896611718
"house_roof_regroup","non-MDR","seng",-1.9963896611718
"house_roof_regroup","MDR","spandek",-1.51938171558486
"house_roof_regroup","non-MDR","spandek",1.51938171558486
"house_building_regroup","MDR","bambu/triplek",1.43313631737964
"house_building_regroup","non-MDR","bambu/triplek",-1.43313631737964
"house_building_regroup","MDR","batako",-1.4432804178023
"house_building_regroup","non-MDR","batako",1.4432804178023
"house_building_regroup","MDR","batu bata",-0.0282825881081193
"house_building_regroup","non-MDR","batu bata",0.028282588108115
"house_window_regroup","MDR","bambu/kayu/terbuka",0.983494705278718
"house_window_regroup","non-MDR","bambu/kayu/terbuka",-0.983494705278718
"house_window_regroup","MDR","kaca/tirai",-0.983494705278718
"house_window_regroup","non-MDR","kaca/tirai",0.983494705278725
"nTotal_people_regroup","MDR",">6 (high)",-1.1072750815264
"nTotal_people_regroup","non-MDR",">6 (high)",1.1072750815264
"nTotal_people_regroup","MDR","1-3 (low)",-0.429039580518403
"nTotal_people_regroup","non-MDR","1-3 (low)",0.429039580518403
"nTotal_people_regroup","MDR","4-6 (moderate)",0.856892197950362
"nTotal_people_regroup","non-MDR","4-6 (moderate)",-0.856892197950362
"nTotal_child_5yo_andBelow_regroup","MDR","0",0.790691674145075
"nTotal_child_5yo_andBelow_regroup","non-MDR","0",-0.790691674145073
"nTotal_child_5yo_andBelow_regroup","MDR","1-4",-0.790691674145076
"nTotal_child_5yo_andBelow_regroup","non-MDR","1-4",0.790691674145077
"nTotal_child_5yo_andBelow_sleep_regroup","MDR","0",0.365591279809993
"nTotal_child_5yo_andBelow_sleep_regroup","non-MDR","0",-0.365591279809998
"nTotal_child_5yo_andBelow_sleep_regroup","MDR","1-3",-0.365591279809993
"nTotal_child_5yo_andBelow_sleep_regroup","non-MDR","1-3",0.365591279809993
"illness_past3days_fever_regroup","MDR","no",0.481706734046969
"illness_past3days_fever_regroup","non-MDR","no",-0.481706734046981
"illness_past3days_fever_regroup","MDR","yes",-0.48170673404697
"illness_past3days_fever_regroup","non-MDR","yes",0.481706734046971
"illness_past3days_fever_nDays_regroup","MDR","0",0.549772160099484
"illness_past3days_fever_nDays_regroup","non-MDR","0",-0.549772160099466
"illness_past3days_fever_nDays_regroup","MDR","1",-0.660699073726327
"illness_past3days_fever_nDays_regroup","non-MDR","1",0.660699073726328
"illness_past3days_fever_nDays_regroup","MDR","2",-0.811614157756309
"illness_past3days_fever_nDays_regroup","non-MDR","2",0.811614157756308
"illness_past3days_fever_nDays_regroup","MDR","3",-0.739789008695319
"illness_past3days_fever_nDays_regroup","non-MDR","3",0.739789008695319
"illness_past3days_fever_nDays_regroup","MDR","7",1.92670340410625
"illness_past3days_fever_nDays_regroup","non-MDR","7",-1.92670340410625
"illness_past24h_difficulty_compiled","MDR","≥ 1 respiratory illness",-1.02411392100677
"illness_past24h_difficulty_compiled","non-MDR","≥ 1 respiratory illness",1.02411392100677
"illness_past24h_difficulty_compiled","MDR","no",1.02411392100677
"illness_past24h_difficulty_compiled","non-MDR","no",-1.02411392100677
"vaccination_hibpentavalent_dc_n_regroup","MDR","1-3 mandatory",1.26473697263116
"vaccination_hibpentavalent_dc_n_regroup","non-MDR","1-3 mandatory",-1.26473697263116
"vaccination_hibpentavalent_dc_n_regroup","MDR","4 booster",-1.26473697263116
"vaccination_hibpentavalent_dc_n_regroup","non-MDR","4 booster",1.26473697263116
"vaccination_pcv13_dc_n_regroup","MDR","1-2 mandatory",2.12057836773208
"vaccination_pcv13_dc_n_regroup","non-MDR","1-2 mandatory",-2.12057836773208
"vaccination_pcv13_dc_n_regroup","MDR","3-4 booster",-2.12057836773208
"vaccination_pcv13_dc_n_regroup","non-MDR","3-4 booster",2.12057836773208
"final_pneumo_decision","MDR","negative",-0.328880221039756
"final_pneumo_decision","non-MDR","negative",0.328880221039757
"final_pneumo_decision","MDR","positive",0.328880221039759
"final_pneumo_decision","non-MDR","positive",-0.328880221039831
"workWGS_process_date","MDR","4/21/2025",-0.330634431356481
"workWGS_process_date","non-MDR","4/21/2025",0.330634431356481
"workWGS_process_date","MDR","45579",-1.01107227996521
"workWGS_process_date","non-MDR","45579",1.01107227996521
"workWGS_process_date","MDR","45580",1.27855171910944
"workWGS_process_date","non-MDR","45580",-1.27855171910944
"workWGS_process_date","MDR","45581",0.0203499568375139
